regime,metric,seed_mean,seed_sd,pooled_count,min,p05,median,p95,max
easy,alignment.cosine,0.4999460746658345,0.17893062001820095,300,-0.73384690284729,-0.1763658061623573,0.6013837456703186,0.8475778430700303,0.9288219213485718
easy,alignment.dot,32.18674535440902,20.409358979475424,300,-11.278944969177246,-1.568777072429657,23.99362564086914,97.38669624328615,189.14703369140625
easy,alignment.gradient_norm,7.062259609897931,2.0732564045624717,300,0.9422364830970764,2.7781142592430115,7.249697923660278,10.714656066894532,12.825386047363281
easy,alignment.task_gradient_norm,6.535919368018706,1.687933388335324,300,0.16114358603954315,0.8268509060144424,6.019359111785889,13.43302307128907,20.183914184570312
easy,raw_O1_alignment.cosine,0.4999460746658345,0.17893062001820095,300,-0.73384690284729,-0.1763658061623573,0.6013837456703186,0.8475778430700303,0.9288219213485718
easy,raw_O1_alignment.dot,32.18674535440902,20.409358979475424,300,-11.278944969177246,-1.568777072429657,23.99362564086914,97.38669624328615,189.14703369140625
easy,raw_O1_alignment.gradient_norm,7.062259609897931,2.0732564045624717,300,0.9422364830970764,2.7781142592430115,7.249697923660278,10.714656066894532,12.825386047363281
easy,raw_O1_alignment.task_gradient_norm,6.535919368018706,1.687933388335324,300,0.16114358603954315,0.8268509060144424,6.019359111785889,13.43302307128907,20.183914184570312
easy,effective_direction.cosine,0.4999460722754399,0.17893061822444006,300,-0.7338468432426453,-0.17636577337980266,0.601383775472641,0.8475779563188554,0.9288219809532166
easy,effective_direction.dot,1.174223667914824,0.6684082407469203,300,-0.5639472603797913,-0.06899903453886509,0.7466892302036285,3.721454024314882,9.33168888092041
easy,effective_direction.gradient_norm,0.2733300871402025,0.12261209070765891,300,0.03356226906180382,0.09130129367113114,0.2347887083888054,0.5210548013448716,0.641269326210022
easy,effective_direction.task_gradient_norm,6.535919368018706,1.687933388335324,300,0.16114358603954315,0.8268509060144424,6.019359111785889,13.43302307128907,20.183914184570312
easy,before.accuracy,0.6333333333333333,0.12958065377722605,300,0.0,0.0,0.625,1.0,1.0
easy,before.nll,0.8748664512299001,0.29884732852252965,300,0.023553339764475822,0.07944831512868405,0.7139922082424164,2.1460216045379648,4.556478500366211
