method,regime,metric,seed_mean_average,seed_mean_std,pooled_count,pooled_min,pooled_p05,pooled_median,pooled_p95,pooled_max
C0,easy,own_inner_loss_before,2.257946434020996,0.39478798081646366,300,1.4929139614105225,1.6735691010951996,2.1997100114822388,3.0522119045257567,3.7511651515960693
C0,easy,own_inner_loss_after,4.515531934897105,0.44051255396410727,300,1.5988373756408691,2.79629157781601,4.483916759490967,6.243058013916016,7.112284183502197
C0,easy,representation_shift,2.0545772617061933,0.6521680121074812,300,0.38443437218666077,0.8332782059907913,1.8770390152931213,3.6024218082427986,4.622729778289795
C0,easy,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
C0,easy,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
C0,easy,nonfinite_elements,0,0.0,300,0,0.0,0.0,0.0,0
C0,easy,all_finite,1,0.0,300,True,1.0,1.0,1.0,True
C0,hard,alignment.cosine,0.2509101163689047,0.04570942723556213,300,-0.9105117321014404,-0.7916520297527313,0.3885921388864517,0.8513812929391861,0.9531872272491455
C0,hard,alignment.dot,10.176793862581253,3.8335770156604583,300,-26.016494750976562,-10.332283353805542,6.650680780410767,42.56042041778564,96.20990753173828
C0,hard,alignment.gradient_norm,3.681395233074824,0.5384922416774445,300,0.2728992700576782,1.643452650308609,3.2990230321884155,6.802678966522218,8.82278060913086
C0,hard,alignment.task_gradient_norm,6.292843859195709,0.07015576721268678,300,1.3823708295822144,2.731778728961945,5.981356382369995,11.131888628005983,18.448673248291016
C0,hard,raw_O1_alignment.cosine,0.2509101163689047,0.04570942723556213,300,-0.9105117321014404,-0.7916520297527313,0.3885921388864517,0.8513812929391861,0.9531872272491455
C0,hard,raw_O1_alignment.dot,10.176793862581253,3.8335770156604583,300,-26.016494750976562,-10.332283353805542,6.650680780410767,42.56042041778564,96.20990753173828
C0,hard,raw_O1_alignment.gradient_norm,3.681395233074824,0.5384922416774445,300,0.2728992700576782,1.643452650308609,3.2990230321884155,6.802678966522218,8.82278060913086
C0,hard,raw_O1_alignment.task_gradient_norm,6.292843859195709,0.07015576721268678,300,1.3823708295822144,2.731778728961945,5.981356382369995,11.131888628005983,18.448673248291016
C0,hard,effective_direction.cosine,0.25091011309064926,0.04570943390465379,300,-0.9105115532875061,-0.7916520923376084,0.38859203457832336,0.8513813585042954,0.9531872272491455
C0,hard,effective_direction.dot,0.5088397015297474,0.19167885171558835,300,-1.3008246421813965,-0.5166141957044601,0.3325340300798416,2.1280209898948668,4.810495853424072
C0,hard,effective_direction.gradient_norm,0.1840697652846575,0.02692461109198002,300,0.013644963502883911,0.08217263743281365,0.1649511530995369,0.3401339158415795,0.44113901257514954
C0,hard,effective_direction.task_gradient_norm,6.292843859195709,0.07015576721268678,300,1.3823708295822144,2.731778728961945,5.981356382369995,11.131888628005983,18.448673248291016
C0,hard,before.accuracy,0.40541666666666665,0.02673169155390909,300,0.0,0.0,0.375,0.875,1.0
C0,hard,before.nll,1.3139047340552013,0.019502731901290673,300,0.41721266508102417,0.6950897604227066,1.2539527416229248,2.156795895099641,3.241307020187378
C0,hard,before.margin,-0.026497344012216976,0.0033169490258490356,300,-0.2938343286514282,-0.1467306323349476,-0.015470270998775959,0.06967137195169926,0.18176572024822235
C0,hard,before.query_nll,1.3139047283213585,0.01950272799400866,2400,0.11873169988393784,0.39196743816137314,1.2163022756576538,2.6910789608955383,4.187764644622803
C0,hard,after.accuracy,0.41875,0.040097537330863596,300,0.0,0.0,0.5,1.0,1.0
C0,hard,after.nll,1.3101382102568944,0.04287899007382578,300,0.43263864517211914,0.7579017907381058,1.2106720805168152,2.106243491172791,3.3374786376953125
C0,hard,after.margin,-0.02518477295835813,0.006372658477787508,300,-0.26884689927101135,-0.1303877130150795,-0.015235302969813347,0.05381597056984905,0.11433903872966766
C0,hard,after.query_nll,1.31013820949321,0.042878984634238365,2400,0.16798503696918488,0.4459197372198105,1.1839576959609985,2.703080117702484,3.8168764114379883
C0,hard,after.update_norm,0.18406976537158093,0.02692461206410589,300,0.013644963502883911,0.08217263706028462,0.1649511530995369,0.34013394266366964,0.44113901257514954
C0,hard,after.accuracy_delta,0.013333333333333334,0.02525907427704613,300,-1.0,-0.75,0.0,0.75,1.0
