branch,regime,metric,seed_mean,seed_sd,count,mean,std,min,max,p05,p25,median,p75,p95
P_O0_resume,easy,alignment.cosine,0.12558517999947072,0.007791343796261878,300,0.12558517999947072,0.44055218167386206,-0.8640297651290894,0.8774918913841248,-0.5797902762889862,-0.2551644891500473,0.16244946420192719,0.5043678134679794,0.7563632786273956
P_O0_resume,easy,alignment.dot,11.386134703482192,4.6082907209109685,300,11.38613470348219,39.87752833587958,-122.59103393554688,284.46868896484375,-37.35031795501709,-2.6134772896766663,2.9805476665496826,20.247745513916016,75.5277801513672
P_O0_resume,easy,alignment.gradient_norm,7.982174445788066,2.076394866396835,300,7.982174445788066,3.1120918910557096,2.203446388244629,21.90789794921875,3.9572423577308653,5.704322099685669,7.419389486312866,9.702372789382935,13.45164351463318
P_O0_resume,easy,alignment.task_gradient_norm,7.016750952179233,1.5833338632876928,300,7.016750952179233,6.1894389588293075,0.066018246114254,27.086048126220703,0.3051771119236946,1.571020245552063,5.311761856079102,11.201558351516724,19.27013397216797
P_O0_resume,easy,raw_O1_alignment.cosine,0.12558517999947072,0.007791343796261878,300,0.12558517999947072,0.44055218167386206,-0.8640297651290894,0.8774918913841248,-0.5797902762889862,-0.2551644891500473,0.16244946420192719,0.5043678134679794,0.7563632786273956
P_O0_resume,easy,raw_O1_alignment.dot,11.386134703482192,4.6082907209109685,300,11.38613470348219,39.87752833587958,-122.59103393554688,284.46868896484375,-37.35031795501709,-2.6134772896766663,2.9805476665496826,20.247745513916016,75.5277801513672
P_O0_resume,easy,raw_O1_alignment.gradient_norm,7.982174445788066,2.076394866396835,300,7.982174445788066,3.1120918910557096,2.203446388244629,21.90789794921875,3.9572423577308653,5.704322099685669,7.419389486312866,9.702372789382935,13.45164351463318
P_O0_resume,easy,raw_O1_alignment.task_gradient_norm,7.016750952179233,1.5833338632876928,300,7.016750952179233,6.1894389588293075,0.066018246114254,27.086048126220703,0.3051771119236946,1.571020245552063,5.311761856079102,11.201558351516724,19.27013397216797
P_O0_resume,easy,effective_direction.cosine,0.12558517954933146,0.007791346424925175,300,0.12558517954933146,0.440552184657938,-0.8640298247337341,0.87749183177948,-0.5797902762889862,-0.2551644891500473,0.1624494567513466,0.504367858171463,0.7563632220029831
P_O0_resume,easy,effective_direction.dot,0.24821215976960956,0.06691191784052965,300,0.24821215976960956,0.7595008646659641,-3.1264538764953613,4.35221529006958,-0.6264053881168365,-0.05714927241206169,0.08373114094138145,0.4702314957976341,1.781316441297532
P_O0_resume,easy,effective_direction.gradient_norm,0.1913440294067065,0.014105093965676791,300,0.1913440294067065,0.09693313600704148,0.04336542263627052,0.5465123653411865,0.07880748845636845,0.12108590453863144,0.16495705395936966,0.23599303513765335,0.39373552203178425
P_O0_resume,easy,effective_direction.task_gradient_norm,7.016750952179233,1.5833338632876928,300,7.016750952179233,6.1894389588293075,0.066018246114254,27.086048126220703,0.3051771119236946,1.571020245552063,5.311761856079102,11.201558351516724,19.27013397216797
P_O0_resume,easy,before.accuracy,0.8095833333333333,0.10932558407497,300,0.8095833333333333,0.2372189265621243,0.0,1.0,0.375,0.625,0.875,1.0,1.0
P_O0_resume,easy,before.nll,0.4047800855470511,0.14682350406410385,300,0.4047800855470511,0.42443805345993457,0.003257600823417306,2.2587621212005615,0.016358681302517653,0.07676049321889877,0.26462356746196747,0.6347926408052444,1.19506471157074
P_O0_resume,easy,before.margin,0.2675023831613362,0.040540169059751226,300,0.2675023831613362,0.1642459777150216,-0.17572380602359772,0.6429276466369629,-0.02274596430361271,0.15599887073040009,0.2755434066057205,0.4014851748943329,0.5174755036830903
P_O0_resume,easy,before.query_nll,0.40478008633568,0.14682350333793837,2400,0.40478008633568,0.6638234220276322,0.000382707774406299,4.262490749359131,0.0025375211611390115,0.011423977324739099,0.07717265188694,0.5156219899654388,1.8480798959732054
P_O0_resume,easy,after.accuracy,0.7416666666666667,0.055372789647383076,300,0.7416666666666667,0.3091303838235552,0.0,1.0,0.125,0.5,0.875,1.0,1.0
P_O0_resume,easy,after.nll,0.6670916864058624,0.20313077187205322,300,0.6670916864058624,0.8410636658412531,0.006548209115862846,5.453024387359619,0.021810843795537948,0.09860536083579063,0.34922468662261963,0.9267735630273819,2.2416107296943664
P_O0_resume,easy,after.margin,0.18876818966120482,0.07051544631017533,300,0.18876818966120482,0.1922149183379844,-0.4932296872138977,0.5459306240081787,-0.14904518127441405,0.08149902895092964,0.21738839149475098,0.32399632036685944,0.46946709454059604
P_O0_resume,easy,after.query_nll,0.6670916862113032,0.20313077026525914,2400,0.6670916862113032,1.1234905127629096,0.001019673072732985,8.875394821166992,0.004448613198474049,0.022837834898382425,0.1269163265824318,0.8439018577337265,2.948868310451505
P_O0_resume,easy,after.update_norm,0.19134402994066477,0.014105095108568864,300,0.19134402994066477,0.0969331365154973,0.04336542263627052,0.5465123653411865,0.07880748845636845,0.12108590453863144,0.16495705395936966,0.23599305003881454,0.3937354952096941
P_O0_resume,easy,after.accuracy_delta,-0.06791666666666667,0.0574229556304213,300,-0.06791666666666667,0.308433971493836,-0.875,0.875,-0.625,-0.25,0.0,0.03125,0.5
P_O0_resume,easy,after.nll_delta,0.2623116008588113,0.11137409910043236,300,0.2623116008588113,0.7835897124951144,-2.0180587768554688,4.7091299295425415,-0.6067862745374442,-0.09397626901045442,0.06585145927965641,0.5374422529712319,1.5895248398184796
P_O0_resume,easy,after.margin_delta,-0.07873419350013137,0.030089204336461995,300,-0.07873419350013137,0.14748456270548213,-0.6176218464970589,0.4554522931575775,-0.34745238572359083,-0.16464238055050373,-0.07077492028474808,0.008161187171936035,0.15948403254151358
P_O0_resume,easy,after.query_nll_delta,0.26231159987562325,0.11137409990360386,2400,0.26231159987562325,1.085462111294317,-3.6403514593839645,7.3857102394104,-0.9991775304079056,-0.08259368292056024,0.015490328427404165,0.3428841008571908,2.4068552911281564
P_O0_resume,easy,after.episode_nll_improves,0.3933333333333333,0.05859465277082317,300,0.3933333333333333,0.4893059266502629,0.0,1.0,0.0,0.0,0.0,1.0,1.0
P_O0_resume,easy,after.query_nll_improves_fraction,0.38458333333333333,0.04531716929965211,300,0.38458333333333333,0.2804637995626279,0.0,1.0,0.0,0.125,0.375,0.625,0.875
P_O0_resume,easy,O1_inner_loss_before,2.311431814432144,0.3880445265665123,300,2.311431814432144,0.4636547752394491,1.2094446420669556,3.5177712440490723,1.534837818145752,1.9616079330444336,2.3079209327697754,2.6378549337387085,3.049651265144348
P_O0_resume,easy,O1_inner_loss_after,2.0370866592725116,0.3641948887079438,300,2.0370866592725116,0.42109053502755156,1.1037452220916748,3.1346311569213867,1.4069931566715241,1.713817149400711,2.0049561262130737,2.333915650844574,2.8060920357704164
P_O0_resume,easy,own_inner_loss_before,2.311431814432144,0.3880445265665123,300,2.311431814432144,0.4636547752394491,1.2094446420669556,3.5177712440490723,1.534837818145752,1.9616079330444336,2.3079209327697754,2.6378549337387085,3.049651265144348
P_O0_resume,easy,own_inner_loss_after,2.0370866592725116,0.3641948887079438,300,2.0370866592725116,0.42109053502755156,1.1037452220916748,3.1346311569213867,1.4069931566715241,1.713817149400711,2.0049561262130737,2.333915650844574,2.8060920357704164
P_O0_resume,easy,step.chosen_eta,0.02689583373411248,0.007442575410040628,300,0.02689583373411248,0.014882643958266363,0.0062500000931322575,0.05000000074505806,0.012500000186264515,0.012500000186264515,0.02500000037252903,0.05000000074505806,0.05000000074505806
P_O0_resume,easy,step.backtracking_trials,2.1266666666666665,0.4781561809004808,300,2.1266666666666665,0.840422466359685,1.0,4.0,1.0,1.0,2.0,3.0,3.0
P_O0_resume,easy,step.step_accepted,1,0.0,300,1,0.0,True,True,1.0,1.0,1.0,1.0,1.0
P_O0_resume,easy,step.step_rejected,0,0.0,300,0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
P_O0_resume,easy,step.armijo_rhs,2.3112773863474527,0.38801830439888524,300,2.3112773863474527,0.4635935075148008,1.2094203233718872,3.5175089836120605,1.534798902273178,1.9615198373794556,2.307836413383484,2.6376741528511047,3.0491766929626465
P_O0_resume,easy,step.armijo_satisfied,1,0.0,300,1,0.0,True,True,1.0,1.0,1.0,1.0,1.0
P_O0_resume,easy,step.armijo_margin,0.274190727074941,0.02384876370619316,300,0.274190727074941,0.1813440285553036,0.0031044483184814453,1.0803334712982178,0.027635586261749272,0.1385020613670349,0.24772202968597412,0.38725537061691284,0.6088546872138978
P_O0_resume,easy,representation_shift,0.5137709813565016,0.03730430433756729,300,0.5137709813565016,0.2557517266735402,0.1003362163901329,1.5004204511642456,0.2198311984539032,0.33006832003593445,0.4328371435403824,0.6235984861850739,1.0331237196922303
P_O0_resume,easy,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_O0_resume,easy,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_O0_resume,easy,nonfinite_elements,0,0.0,300,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
P_O0_resume,easy,all_finite,1,0.0,300,1,0.0,True,True,1.0,1.0,1.0,1.0,1.0
P_O0_resume,easy,W0_only_metric_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_O0_resume,easy,normal_metric_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_O0_resume,hard,alignment.cosine,0.11334458357499291,0.014547786522712342,300,0.11334458357499291,0.4719173441981604,-0.8712521195411682,0.8419050574302673,-0.6711399883031846,-0.25127357989549637,0.12453299760818481,0.5461169630289078,0.7596854537725449
P_O0_resume,hard,alignment.dot,1.9453175059954326,0.6071799866037523,300,1.9453175059954326,6.481866421102114,-19.238298416137695,31.113561630249023,-6.034963631629943,-1.1549043357372284,0.621746689081192,4.453506827354431,11.384250497818021
P_O0_resume,hard,alignment.gradient_norm,1.7922318962216377,0.2534879240867192,300,1.7922318962216377,0.8137676103910384,0.23227661848068237,4.9806928634643555,0.647100293636322,1.2127801179885864,1.7339348196983337,2.229531466960907,3.2906093716621414
