branch,seed,step,split,regime,path,accuracy,nll,margin
P_C2_warm,7,0,heldout,easy,before,0.71875,0.618635843731463,0.19278949451632799
P_C2_warm,7,0,heldout,easy,after,0.90375,0.26979391610249875,0.24005332447588443
P_C2_warm,7,0,heldout,easy,training_objective,0.90375,0.26979391610249875,0.24005332447588443
P_C2_warm,7,0,heldout,hard,before,0.41125,1.316600942015648,-0.02872786041116342
P_C2_warm,7,0,heldout,hard,after,0.48625,1.236402542591095,-0.013386011882685124
P_C2_warm,7,0,heldout,hard,training_objective,0.48625,1.236402542591095,-0.013386011882685124
P_C2_warm,7,50,train_seen_at_final,easy,before,1.0,0.033458184469491246,0.4714926472306252
P_C2_warm,7,50,train_seen_at_final,easy,after,0.91125,0.2307508250384126,0.3715117035806179
P_C2_warm,7,50,train_seen_at_final,easy,training_objective,0.91125,0.2307508250384126,0.3715117035806179
P_C2_warm,7,50,train_seen_at_final,hard,before,0.5025,1.1945667445659638,-0.002502900958061218
P_C2_warm,7,50,train_seen_at_final,hard,after,0.5375,1.1880038642883302,-0.0013291890546679496
P_C2_warm,7,50,train_seen_at_final,hard,training_objective,0.5375,1.1880038642883302,-0.0013291890546679496
P_C2_warm,7,50,heldout,easy,before,0.68625,0.682934296540916,0.14979032476432622
P_C2_warm,7,50,heldout,easy,after,0.93625,0.29569791596382855,0.20810593030415475
P_C2_warm,7,50,heldout,easy,training_objective,0.93625,0.29569791596382855,0.20810593030415475
P_C2_warm,7,50,heldout,hard,before,0.36375,1.374547131061554,-0.037226609517820176
P_C2_warm,7,50,heldout,hard,after,0.46375,1.2290142530202866,-0.010336942900903524
P_C2_warm,7,50,heldout,hard,training_objective,0.46375,1.2290142530202866,-0.010336942900903524
P_C2_warm,7,100,train_seen_at_final,easy,before,0.99625,0.03582880155765451,0.47972158163785933
P_C2_warm,7,100,train_seen_at_final,easy,after,0.9225,0.21026894162874668,0.37815121486783027
P_C2_warm,7,100,train_seen_at_final,easy,training_objective,0.9225,0.21026894162874668,0.37815121486783027
P_C2_warm,7,100,train_seen_at_final,hard,before,0.49875,1.190881074666977,-0.0021730223298072815
P_C2_warm,7,100,train_seen_at_final,hard,after,0.56375,1.1670732563734054,0.0022507963329553606
P_C2_warm,7,100,train_seen_at_final,hard,training_objective,0.56375,1.1670732563734054,0.0022507963329553606
P_C2_warm,7,100,heldout,easy,before,0.6525,0.7878601213544607,0.13142133411951362
P_C2_warm,7,100,heldout,easy,after,0.90625,0.3187135104835033,0.19799481940455735
P_C2_warm,7,100,heldout,easy,training_objective,0.90625,0.3187135104835033,0.19799481940455735
P_C2_warm,7,100,heldout,hard,before,0.375,1.3636071813106536,-0.035121309328824284
P_C2_warm,7,100,heldout,hard,after,0.4675,1.2267187929153442,-0.009608612309675664
P_C2_warm,7,100,heldout,hard,training_objective,0.4675,1.2267187929153442,-0.009608612309675664
P_C2_warm,7,200,train_seen_at_final,easy,before,0.995,0.03169493726920337,0.5028496660292149
P_C2_warm,7,200,train_seen_at_final,easy,after,0.99375,0.06225518358754925,0.4448024380207062
P_C2_warm,7,200,train_seen_at_final,easy,training_objective,0.99375,0.06225518358754925,0.4448024380207062
P_C2_warm,7,200,train_seen_at_final,hard,before,0.50375,1.1806561279296874,-0.0015223250910639764
P_C2_warm,7,200,train_seen_at_final,hard,after,0.55625,1.1503636300563813,0.004678409583866596
P_C2_warm,7,200,train_seen_at_final,hard,training_objective,0.55625,1.1503636300563813,0.004678409583866596
P_C2_warm,7,200,heldout,easy,before,0.62,0.8597560779936612,0.1151273168437183
P_C2_warm,7,200,heldout,easy,after,0.93,0.29342674061656,0.20958630916662513
P_C2_warm,7,200,heldout,easy,training_objective,0.93,0.29342674061656,0.20958630916662513
P_C2_warm,7,200,heldout,hard,before,0.385,1.35629802942276,-0.03323248077649623
P_C2_warm,7,200,heldout,hard,after,0.45625,1.2413731509447097,-0.012308114171028138
P_C2_warm,7,200,heldout,hard,training_objective,0.45625,1.2413731509447097,-0.012308114171028138
P_C2_warm,7,400,train_seen_at_final,easy,before,0.99625,0.022036985431914218,0.5708364927768708
P_C2_warm,7,400,train_seen_at_final,easy,after,0.99875,0.02635198531555943,0.531258089542389
P_C2_warm,7,400,train_seen_at_final,easy,training_objective,0.99875,0.02635198531555943,0.531258089542389
P_C2_warm,7,400,train_seen_at_final,hard,before,0.62875,1.0724777406454087,0.01592551380395889
P_C2_warm,7,400,train_seen_at_final,hard,after,0.64,1.0627115309238433,0.01820780072361231
P_C2_warm,7,400,train_seen_at_final,hard,training_objective,0.64,1.0627115309238433,0.01820780072361231
P_C2_warm,7,400,heldout,easy,before,0.68,0.7419018422998488,0.14337425466626882
P_C2_warm,7,400,heldout,easy,after,0.8975,0.3267726779356599,0.2205282204039395
P_C2_warm,7,400,heldout,easy,training_objective,0.8975,0.3267726779356599,0.2205282204039395
P_C2_warm,7,400,heldout,hard,before,0.38,1.3297561180591584,-0.029262842764146625
P_C2_warm,7,400,heldout,hard,after,0.445,1.2407440042495728,-0.013514689691364766
P_C2_warm,7,400,heldout,hard,training_objective,0.445,1.2407440042495728,-0.013514689691364766
P_O0_resume,17,0,train_seen_at_final,easy,before,1.0,0.01698675511725014,0.528818776011467
P_O0_resume,17,0,train_seen_at_final,easy,after,0.81375,1.0571858521114337,0.2587867883220315
P_O0_resume,17,0,train_seen_at_final,easy,training_objective,1.0,0.029485079117584974,0.4478196370601654
P_O0_resume,17,0,train_seen_at_final,hard,before,0.505,1.1745581382513046,0.0015592167526483536
P_O0_resume,17,0,train_seen_at_final,hard,after,0.4275,1.334757115840912,-0.023264490142464636
P_O0_resume,17,0,train_seen_at_final,hard,training_objective,0.53,1.2188116216659546,0.0026768699288368227
P_O0_resume,17,0,heldout,easy,before,0.7175,0.7262714859424159,0.20867593789473177
P_O0_resume,17,0,heldout,easy,after,0.88875,0.30962498250417414,0.2201828347146511
P_O0_resume,17,0,heldout,easy,training_objective,0.60625,0.851825790796429,0.11284017961472273
P_O0_resume,17,0,heldout,hard,before,0.42875,1.293194181919098,-0.022685653301887213
P_O0_resume,17,0,heldout,hard,after,0.4875,1.2091670197248459,-0.008759406432509421
P_O0_resume,17,0,heldout,hard,training_objective,0.40875,1.2905646228790284,-0.02038192521780729
P_O0_resume,17,50,train_seen_at_final,easy,before,1.0,0.014055324802466202,0.5317031800746918
P_O0_resume,17,50,train_seen_at_final,easy,after,0.79125,1.2620598091030844,0.2220925584435463
P_O0_resume,17,50,train_seen_at_final,easy,training_objective,1.0,0.022430213171755895,0.4729370632767677
P_O0_resume,17,50,train_seen_at_final,hard,before,0.54625,1.1505322510004043,0.006928175687789917
P_O0_resume,17,50,train_seen_at_final,hard,after,0.4275,1.294777991771698,-0.016436732858419418
P_O0_resume,17,50,train_seen_at_final,hard,training_objective,0.5725,1.1946841049194337,0.006418915912508965
P_O0_resume,17,50,heldout,easy,before,0.71625,0.7289662774838507,0.19145214182324707
P_O0_resume,17,50,heldout,easy,after,0.88375,0.33915131227113304,0.21493199698626994
P_O0_resume,17,50,heldout,easy,training_objective,0.5925,0.8964431955292821,0.10250007424503566
P_O0_resume,17,50,heldout,hard,before,0.39125,1.3142985555529594,-0.025142389005050062
P_O0_resume,17,50,heldout,hard,after,0.47125,1.190643984079361,-0.006252664579078555
P_O0_resume,17,50,heldout,hard,training_objective,0.37,1.3081182676553726,-0.023049495965242386
P_O0_resume,17,100,train_seen_at_final,easy,before,1.0,0.009300778365868609,0.5707884374260902
P_O0_resume,17,100,train_seen_at_final,easy,after,0.77875,1.1787531319327536,0.25639902368187906
P_O0_resume,17,100,train_seen_at_final,easy,training_objective,1.0,0.01663161727366969,0.5092587520182132
P_O0_resume,17,100,train_seen_at_final,hard,before,0.60875,1.1137269723415375,0.013510409295558929
P_O0_resume,17,100,train_seen_at_final,hard,after,0.45625,1.2738840401172637,-0.015097525902092457
P_O0_resume,17,100,train_seen_at_final,hard,training_objective,0.62625,1.166287534236908,0.010847030356526375
P_O0_resume,17,100,heldout,easy,before,0.77,0.5068912239931523,0.24526537844911217
P_O0_resume,17,100,heldout,easy,after,0.84625,0.41288090413436296,0.18305239770561457
P_O0_resume,17,100,heldout,easy,training_objective,0.6925,0.6457648430485279,0.14811582839116455
P_O0_resume,17,100,heldout,hard,before,0.4125,1.2778742310404778,-0.019703060649335385
P_O0_resume,17,100,heldout,hard,after,0.46125,1.1739126133918762,-0.004984064335003495
P_O0_resume,17,100,heldout,hard,training_objective,0.405,1.267468923330307,-0.016290159560739995
P_O0_resume,17,200,train_seen_at_final,easy,before,1.0,0.00861028172832448,0.582825779914856
P_O0_resume,17,200,train_seen_at_final,easy,after,0.76375,1.1415694942705885,0.24047348951920866
P_O0_resume,17,200,train_seen_at_final,easy,training_objective,1.0,0.012550435484736227,0.539393419623375
P_O0_resume,17,200,train_seen_at_final,hard,before,0.72625,1.0401271343231202,0.02534456714987755
P_O0_resume,17,200,train_seen_at_final,hard,after,0.53,1.1774669539928437,0.0012474900484085083
P_O0_resume,17,200,train_seen_at_final,hard,training_objective,0.7475,1.0959681791067124,0.020488609075546265
P_O0_resume,17,200,heldout,easy,before,0.71125,0.6232455836795271,0.22050781294703484
P_O0_resume,17,200,heldout,easy,after,0.82125,0.43487113126553595,0.18884568884968758
P_O0_resume,17,200,heldout,easy,training_objective,0.6125,0.8083561010845005,0.13488002736121416
P_O0_resume,17,200,heldout,hard,before,0.41375,1.2838355433940887,-0.01942218152806163
P_O0_resume,17,200,heldout,hard,after,0.4575,1.2071417367458344,-0.009698980171233416
P_O0_resume,17,200,heldout,hard,training_objective,0.40625,1.2700724944472312,-0.016653553880751133
