state_id,seed,branch,step,regime,index,episode_seed,S0_nll,S0_accuracy,S1_nll,S1_accuracy,S2_nll,S2_accuracy,S3_nll,S3_accuracy,S2_diversity,S2_eligible_pairs,S2_teacher_diversity,S3_diversity,S3_eligible_pairs,S3_teacher_diversity
seed7_original_P,7,original_P,0,easy,0,3000700000,0.2490053553483449,0.875,0.046829744707793,1.0,5.620747655630112,0.125,6.561766058206558,0.0,0.8496124744415283,28,0.0604480504989624,0.8796893954277039,28,0.0
seed7_original_P,7,original_P,0,easy,1,3000700001,0.05316880407917779,1.0,0.18385299242800102,1.0,5.70644810795784,0.0,6.497181475162506,0.0,0.49987494945526123,28,0.22422263026237488,0.5923065543174744,28,-2.384185791015625e-07
seed7_original_P,7,original_P,0,easy,2,3000700002,0.30815348378382623,0.875,0.1846766888629645,1.0,4.690426886081696,0.0,3.2640495151281357,0.0,1.0025235414505005,28,0.0931050032377243,1.0020325183868408,28,-2.384185791015625e-07
seed7_original_P,7,original_P,0,easy,3,3000700003,0.584560114890337,0.875,0.21827354189008474,1.0,2.3764184787869453,0.375,4.081840127706528,0.375,0.757770836353302,28,0.08944167196750641,0.8750418424606323,28,-1.1920928955078125e-07
seed7_original_P,7,original_P,0,easy,4,3000700004,0.6608627662062645,0.75,0.15955222444608808,1.0,3.2764871902763844,0.25,2.5616997331380844,0.25,0.705068051815033,28,0.030812503769993782,0.8156969547271729,28,0.0
seed7_original_P,7,original_P,0,easy,5,3000700005,0.8404437457211316,0.375,0.632691047154367,0.875,8.32522177696228,0.0,5.651618182659149,0.0,0.4437834322452545,28,0.018077531829476357,0.44103074073791504,28,1.1920928955078125e-07
seed7_original_P,7,original_P,0,easy,6,3000700006,0.16897770040668547,1.0,0.15285642922390252,1.0,2.4626612812280655,0.125,4.17936310172081,0.0,0.6132957339286804,28,0.19064441323280334,0.8219521641731262,28,5.960464477539063e-08
seed7_original_P,7,original_P,0,easy,7,3000700007,2.136282131075859,0.0,0.6439245902001858,0.75,2.921033889055252,0.125,2.5509581863880157,0.125,0.6329736709594727,28,0.06415783613920212,0.5698382258415222,28,5.960464477539063e-08
seed7_original_P,7,original_P,0,easy,8,3000700008,0.4331814527977258,1.0,0.46983331942465156,0.875,3.3920673727989197,0.0,3.3759801387786865,0.0,0.552627682685852,28,0.09866943210363388,0.2674866318702698,28,0.0
seed7_original_P,7,original_P,0,easy,9,3000700009,0.11319640907458961,1.0,0.07181852147914469,1.0,3.0616255402565002,0.0,6.635604381561279,0.0,0.559069812297821,28,0.1953495293855667,0.6519302725791931,28,-1.1920928955078125e-07
seed7_original_P,7,original_P,0,easy,10,3000700010,0.9838992301374674,0.375,0.1511843386106193,1.0,1.760988600552082,0.5,3.069763623178005,0.125,0.48962634801864624,28,0.036438144743442535,0.5503794550895691,28,-1.1920928955078125e-07
seed7_original_P,7,original_P,0,easy,11,3000700011,0.1736060985858785,0.875,0.05058167316019535,1.0,4.186551108956337,0.0,4.76233696937561,0.0,0.2732164263725281,28,0.05783058702945709,0.27043935656547546,28,0.0
seed7_original_P,7,original_P,0,easy,12,3000700012,0.3387002060189843,0.75,0.07265900517813861,1.0,3.5145392566919327,0.0,2.8614698629826307,0.125,0.3090646266937256,28,0.11542032659053802,0.3972093164920807,28,5.960464477539063e-08
seed7_original_P,7,original_P,0,easy,13,3000700013,1.3952084141492378,0.375,0.36930255126208067,1.0,2.7321261912584305,0.5,3.192619513720274,0.25,0.15981777012348175,28,0.1403162032365799,0.28369343280792236,28,5.960464477539063e-08
seed7_original_P,7,original_P,0,easy,14,3000700014,0.39040854771155864,0.75,0.07827895879745483,1.0,3.3502011485397816,0.125,3.674654293805361,0.125,0.4776352047920227,28,0.028919856995344162,0.41333097219467163,28,0.0
