state_id,seed,branch,step,regime,episode_seed,count,before_nll,after_nll,oracle_nll,before_accuracy,after_accuracy,oracle_accuracy,delta_nll
seed7_original_P,7,original_P,0,easy,20070000,8,0.3691521465206131,0.15076159040766737,0.15076159040766737,1,1,1,-0.21839055611294575
seed7_original_P,7,original_P,0,easy,20070001,8,1.5496348778275224,0.3762409139038756,0.3762409139038756,0.125,1,1,-1.1733939639236468
seed7_original_P,7,original_P,0,easy,20070002,8,0.7025647330838017,0.08015168371783359,0.08015168371783359,0.625,1,1,-0.6224130493659682
seed7_original_P,7,original_P,0,easy,20070003,8,0.007265231078793246,0.012300095322257345,0.006187658690093067,1,1,1,0.005034864243464099
seed7_original_P,7,original_P,0,easy,20070004,8,0.5717674342002513,0.138918988978377,0.138918988978377,0.875,1,1,-0.4328484452218743
seed7_original_P,7,original_P,0,easy,20070005,8,0.15985140068803305,0.1127193886954369,0.053799358796189564,1,1,1,-0.047132011992596146
seed7_original_P,7,original_P,0,easy,20070006,8,0.2619529687800591,0.08829948921612969,0.08275293048554624,0.875,1,1,-0.1736534795639294
seed7_original_P,7,original_P,0,easy,20070007,8,0.16257005208231537,0.6899482067735754,0.16257005208231537,1,0.75,1,0.52737815469126
seed7_original_P,7,original_P,0,easy,20070008,8,0.021917028156272854,0.016600628771502764,0.015500918428470097,1,1,1,-0.00531639938477009
seed7_original_P,7,original_P,0,easy,20070009,8,0.33967635556956033,0.19719853317438324,0.1918361487973581,0.75,1,1,-0.1424778223951771
seed7_original_P,7,original_P,0,easy,20070010,8,1.486624113398505,0.3913277249663361,0.3913277249663361,0.375,1,1,-1.095296388432169
seed7_original_P,7,original_P,0,easy,20070011,8,0.9603432671522631,0.2293763111127445,0.2293763111127445,0.5,0.875,0.875,-0.7309669560395187
seed7_original_P,7,original_P,0,easy,20070012,8,1.1110923695900907,0.30022076613398285,0.2904093459202826,0.5,1,1,-0.8108716034561079
seed7_original_P,7,original_P,0,easy,20070013,8,1.9330735494649378,0.5075211817299734,0.496189945948411,0.125,0.75,0.75,-1.4255523677349644
seed7_original_P,7,original_P,0,easy,20070014,8,0.7385051048632506,0.5434009471648159,0.5347033335486497,0.5,0.5,0.5,-0.1951041576984347
seed7_original_P,7,original_P,0,easy,20070015,8,0.14450066197181852,0.36043698205205255,0.14450066197181852,1,0.875,1,0.21593632008023403
seed7_original_P,7,original_P,0,easy,20070016,8,0.32517324100062184,0.17852977631133612,0.17852977631133612,1,1,1,-0.1466434646892857
seed7_original_P,7,original_P,0,easy,20070017,8,0.9596079283035714,0.4455622192043983,0.4455622192043983,0.375,1,1,-0.5140457090991731
seed7_original_P,7,original_P,0,easy,20070018,8,0.2686239586215711,0.17837549939625333,0.17633092883564913,1,1,1,-0.0902484592253178
seed7_original_P,7,original_P,0,easy,20070019,8,1.3165070165189696,0.27961841707206464,0.27961841707206464,0.25,1,1,-1.036888599446905
seed7_original_P,7,original_P,0,easy,20070020,8,0.853642267886308,0.23443621743850987,0.22566206073265788,0.75,1,1,-0.6192060504477982
seed7_original_P,7,original_P,0,easy,20070021,8,0.3152495131613015,0.5169350807644776,0.3152495131613015,1,0.75,1,0.20168556760317607
seed7_original_P,7,original_P,0,easy,20070022,8,0.17636069667144538,0.1168428401817138,0.08334183180712312,1,1,1,-0.05951785648973158
seed7_original_P,7,original_P,0,easy,20070023,8,0.021033225834572133,0.12269154039653475,0.021033225834572133,1,1,1,0.10165831456196261
seed7_original_P,7,original_P,0,easy,20070024,8,0.08413308975460981,0.035364390538121,0.02119016061208704,1,1,1,-0.04876869921648881
seed7_original_P,7,original_P,0,easy,20070025,8,1.6579283295979204,0.7770847760890119,0.76041648034789,0.375,0.375,0.375,-0.8808435535089084
seed7_original_P,7,original_P,0,easy,20070026,8,1.4706104355527791,1.1224984373217235,1.1155864107110767,0.25,0.25,0.25,-0.34811199823105565
seed7_original_P,7,original_P,0,easy,20070027,8,0.2024245322487273,0.09373037713461801,0.09373037713461801,1,1,1,-0.10869415511410929
seed7_original_P,7,original_P,0,easy,20070028,8,1.007639479459347,0.4787601225596519,0.4787601225596519,0.625,0.625,0.625,-0.5288793568996952
seed7_original_P,7,original_P,0,easy,20070029,8,0.4079714880971775,0.39633035354337276,0.36608702035041174,1,1,1,-0.011641134553804722
seed7_original_P,7,original_P,0,easy,20070030,8,0.3253070597187728,0.204231782111088,0.198795263645361,0.75,0.875,0.875,-0.12107527760768477
seed7_original_P,7,original_P,0,easy,20070031,8,0.3591873842427566,0.29154717302543887,0.2799220679746419,0.875,1,1,-0.06764021121731773
seed7_original_P,7,original_P,0,easy,20070032,8,0.008208820619590313,0.07964657421377924,0.008208820619590313,1,1,1,0.07143775359418893
seed7_original_P,7,original_P,0,easy,20070033,8,1.2715652955614374,0.6574413051427466,0.6574413051427466,0.25,0.5,0.5,-0.6141239904186908
seed7_original_P,7,original_P,0,easy,20070034,8,0.403664233759492,0.2998357473999708,0.2987972315361989,0.75,0.75,0.75,-0.10382848635952119
seed7_original_P,7,original_P,0,easy,20070035,8,0.965991570413636,0.23684438530238902,0.23684438530238902,0.5,1,1,-0.729147185111247
seed7_original_P,7,original_P,0,easy,20070036,8,0.5166200705841909,0.2341165710488153,0.21726034122410987,0.75,1,1,-0.28250349953537557
seed7_original_P,7,original_P,0,easy,20070037,8,0.550703489793986,0.0792131018292041,0.07161697728869058,0.625,1,1,-0.4714903879647819
seed7_original_P,7,original_P,0,easy,20070038,8,0.5826633107550815,0.12246227897666534,0.11853788619964112,0.75,1,1,-0.46020103177841615
seed7_original_P,7,original_P,0,easy,20070039,8,1.7929508639068235,0.6897510863107653,0.6897510863107653,0.125,0.375,0.375,-1.1031997775960583
seed7_original_P,7,original_P,0,easy,20070040,8,1.471067857332705,0.20884195020296228,0.17925375714034666,0.25,1,1,-1.2622259071297426
seed7_original_P,7,original_P,0,easy,20070041,8,0.029381421442154484,0.017066821091745923,0.014286669749660343,1,1,1,-0.012314600350408562
seed7_original_P,7,original_P,0,easy,20070042,8,0.5178899805377545,0.049191692245757423,0.049191692245757423,0.75,1,1,-0.46869828829199706
seed7_original_P,7,original_P,0,easy,20070043,8,0.9198828539875508,0.36351478968185086,0.3150504638634004,0.5,0.875,0.875,-0.5563680643056998
seed7_original_P,7,original_P,0,easy,20070044,8,0.16067063913397198,0.0862517567101136,0.08093371228081367,1,1,1,-0.07441888242385837
seed7_original_P,7,original_P,0,easy,20070045,8,0.05389864241271485,0.040400089139924523,0.026290400527029308,1,1,1,-0.013498553272790328
seed7_original_P,7,original_P,0,easy,20070046,8,0.6925506298903015,0.48838169010928206,0.48830449575963975,0.5,0.875,0.875,-0.2041689397810194
seed7_original_P,7,original_P,0,easy,20070047,8,0.5973991616358965,0.12752795893349678,0.12752795893349678,0.75,1,1,-0.4698712027023997
seed7_original_P,7,original_P,0,easy,20070048,8,0.5757155282032547,0.3578316518972574,0.3501707697132311,0.75,0.875,0.875,-0.21788387630599726
seed7_original_P,7,original_P,0,easy,20070049,8,0.4417312971291632,0.1243633304834957,0.06604703239383931,0.75,1,1,-0.3173679666456675
seed7_original_P,7,original_P,0,easy,20070050,8,0.9492973472956447,0.4736454153595633,0.4417630793883976,0.5,0.875,0.875,-0.47565193193608146
seed7_original_P,7,original_P,0,easy,20070051,8,0.16711295602029516,0.1248399134174444,0.10667593072424132,0.875,1,1,-0.042273042602850766
seed7_original_P,7,original_P,0,easy,20070052,8,0.32841515801983023,0.16638448811250506,0.16638448811250506,0.875,1,1,-0.16203066990732518
seed7_original_P,7,original_P,0,easy,20070053,8,0.15610124196901723,0.1552449253873022,0.08415881490340556,1,1,1,-0.0008563165817150331
