feature,scope,descriptive_global_sign,local_sign,raw_auc,global_oriented_auc
query_entropy,state/seed17_P_O0_resume_step400/hard,-1,1,0.526232968477464,0.47376703152253596
query_entropy,state/seed17_P_C2_warm_step50/easy,-1,-1,0.05971807247376082,0.9402819275262392
query_entropy,state/seed17_P_C2_warm_step50/hard,-1,-1,0.44365142244622136,0.5563485775537786
query_entropy,state/seed17_P_C2_warm_step100/easy,-1,-1,0.05173285472332465,0.9482671452766753
query_entropy,state/seed17_P_C2_warm_step100/hard,-1,-1,0.47506788855045556,0.5249321114495444
query_entropy,state/seed17_P_C2_warm_step200/easy,-1,-1,0.06149246953757663,0.9385075304624234
query_entropy,state/seed17_P_C2_warm_step200/hard,-1,-1,0.49457716645216643,0.5054228335478336
query_entropy,state/seed17_P_C2_warm_step400/easy,-1,-1,0.08480018130996449,0.9151998186900355
query_entropy,state/seed17_P_C2_warm_step400/hard,-1,-1,0.4923633969716919,0.5076366030283082
query_entropy,seed/27/easy,-1,-1,0.32271827664558583,0.6772817233544142
query_entropy,state/seed27_original_P/easy,-1,-1,0.33698399858439293,0.663016001415607
query_entropy,seed/27/hard,-1,-1,0.4499210295843559,0.5500789704156441
query_entropy,state/seed27_original_P/hard,-1,-1,0.41787607843137253,0.5821239215686275
query_entropy,state/seed27_P_O0_resume_step50/easy,-1,-1,0.3057363533801961,0.6942636466198039
query_entropy,state/seed27_P_O0_resume_step50/hard,-1,-1,0.3908121544539825,0.6091878455460176
query_entropy,state/seed27_P_O0_resume_step100/easy,-1,-1,0.3275266701390898,0.6724733298609102
query_entropy,state/seed27_P_O0_resume_step100/hard,-1,-1,0.42296040226272785,0.5770395977372722
query_entropy,state/seed27_P_O0_resume_step200/easy,-1,-1,0.3951125012872001,0.6048874987127999
query_entropy,state/seed27_P_O0_resume_step200/hard,-1,-1,0.43994849871246783,0.5600515012875322
query_entropy,state/seed27_P_O0_resume_step400/easy,-1,-1,0.33349423334363093,0.6665057666563691
query_entropy,state/seed27_P_O0_resume_step400/hard,-1,-1,0.40845176470588235,0.5915482352941177
query_entropy,state/seed27_P_C2_warm_step50/easy,-1,-1,0.2567694098592975,0.7432305901407025
query_entropy,state/seed27_P_C2_warm_step50/hard,-1,-1,0.45031529411764704,0.549684705882353
query_entropy,state/seed27_P_C2_warm_step100/easy,-1,-1,0.2371700673465942,0.7628299326534058
query_entropy,state/seed27_P_C2_warm_step100/hard,-1,1,0.509968242766408,0.49003175723359205
query_entropy,state/seed27_P_C2_warm_step200/easy,-1,-1,0.31215184650299155,0.6878481534970085
query_entropy,state/seed27_P_C2_warm_step200/hard,-1,1,0.5125826720627196,0.48741732793728043
query_entropy,state/seed27_P_C2_warm_step400/easy,-1,-1,0.3852708955550964,0.6147291044449036
query_entropy,state/seed27_P_C2_warm_step400/hard,-1,-1,0.49026877325069235,0.5097312267493077
query_max_probability,overall,1,1,0.6495975467542239,0.6495975467542239
query_max_probability,regime/easy,1,1,0.8114353565227722,0.8114353565227722
query_max_probability,seed/7/easy,1,1,0.8484225246073953,0.8484225246073953
query_max_probability,branch/original_P/overall,1,1,0.6459677682344801,0.6459677682344801
query_max_probability,branch/original_P/easy,1,1,0.8266252681084946,0.8266252681084946
query_max_probability,step/original_P/0/easy,1,1,0.8266252681084946,0.8266252681084946
query_max_probability,state/seed7_original_P/easy,1,1,0.9165041208791209,0.9165041208791209
query_max_probability,regime/hard,1,1,0.5395666448267474,0.5395666448267474
query_max_probability,seed/7/hard,1,1,0.5601281381720108,0.5601281381720108
query_max_probability,branch/original_P/hard,1,1,0.564190985798958,0.564190985798958
query_max_probability,step/original_P/0/hard,1,1,0.564190985798958,0.564190985798958
query_max_probability,state/seed7_original_P/hard,1,1,0.5449200190053849,0.5449200190053849
query_max_probability,branch/P_O0_resume/overall,1,1,0.6589634934705357,0.6589634934705357
query_max_probability,branch/P_O0_resume/easy,1,1,0.7891856306641093,0.7891856306641093
query_max_probability,step/P_O0_resume/50/easy,1,1,0.8385005738805161,0.8385005738805161
query_max_probability,state/seed7_P_O0_resume_step50/easy,1,1,0.9116380302342861,0.9116380302342861
query_max_probability,branch/P_O0_resume/hard,1,1,0.5404128037084399,0.5404128037084399
query_max_probability,step/P_O0_resume/50/hard,1,1,0.565056538110411,0.565056538110411
query_max_probability,state/seed7_P_O0_resume_step50/hard,1,1,0.5609160866227998,0.5609160866227998
query_max_probability,step/P_O0_resume/100/easy,1,1,0.8307937853028471,0.8307937853028471
query_max_probability,state/seed7_P_O0_resume_step100/easy,1,1,0.8919875579992127,0.8919875579992127
query_max_probability,step/P_O0_resume/100/hard,1,1,0.546789421578263,0.546789421578263
query_max_probability,state/seed7_P_O0_resume_step100/hard,1,1,0.5639831929457716,0.5639831929457716
query_max_probability,step/P_O0_resume/200/easy,1,1,0.7641088296050424,0.7641088296050424
