scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
overall,query_entropy,43200,19594,15042,-0.1483755627398096,0.3617561120068925,0.4605271067183253
overall,query_max_probability,43200,19594,15042,0.17159410693938618,0.6495975467542239,0.5499733827651117
overall,query_probability_gap,43200,19594,15042,0.19749813400343938,0.6605104441132712,0.5592992059669297
overall,query_js,43200,19594,15042,-0.1630616264668564,0.43900968963356113,0.5745173688400796
overall,representation_displacement,43200,19594,15042,-0.10816172126238709,0.4559645225771028,0.5144799641856084
overall,prediction_changed,43200,19594,15042,-0.2040775373669189,0.4254323691897826,0.4847508374378291
overall,delta_max_probability,43200,19594,15042,-0.28214991052053945,0.2902337903393821,0.25931153454089234
overall,delta_entropy,43200,19594,15042,0.31615144295796554,0.7502540299763588,0.7566825012039353
overall,delta_probability_gap,43200,19594,15042,-0.28134819104940606,0.2891184857141184,0.2631944297473337
regime/easy,query_entropy,21600,10696,7161,-0.43574079098357416,0.19509736088010357,0.3617016006713265
regime/easy,query_max_probability,21600,10696,7161,0.4499425967371056,0.8114353565227722,0.6435591605494355
regime/easy,query_probability_gap,21600,10696,7161,0.45659639246574635,0.8148581747772495,0.6457915269065179
regime/easy,query_js,21600,10696,7161,-0.13982795301508238,0.4038157636428289,0.6454768389917147
regime/easy,representation_displacement,21600,10696,7161,-0.053851525756997726,0.44225937480622346,0.5536390908735969
regime/easy,prediction_changed,21600,10696,7161,-0.2372621175716564,0.41756252020077583,0.49386706736424907
regime/easy,delta_max_probability,21600,10696,7161,-0.4973199061705613,0.1806565456206913,0.1390230867754778
regime/easy,delta_entropy,21600,10696,7161,0.5403572951622789,0.852135259730532,0.8788341660938056
regime/easy,delta_probability_gap,21600,10696,7161,-0.4836496050473076,0.18784454498112582,0.14526327036799347
seed/7/easy,query_entropy,7200,3041,1499,-0.516392470963075,0.159490647928657,0.39140401032132865
seed/7/easy,query_max_probability,7200,3041,1499,0.5351263316940673,0.8484225246073953,0.6183443467369172
seed/7/easy,query_probability_gap,7200,3041,1499,0.5386737836035324,0.8509753573013016,0.6212176298553242
seed/7/easy,query_js,7200,3041,1499,-0.4738561626258262,0.25670315261040527,0.5732762963416294
seed/7/easy,representation_displacement,7200,3041,1499,-0.25239316111869525,0.3625971228032945,0.5402983383999553
seed/7/easy,prediction_changed,7200,3041,1499,-0.4491642844571655,0.3727227055361609,0.46590862949151973
seed/7/easy,delta_max_probability,7200,3041,1499,-0.42756032196363375,0.1898240674712566,0.156062411484286
seed/7/easy,delta_entropy,7200,3041,1499,0.4855233994442528,0.8507889966403688,0.860751463964926
seed/7/easy,delta_probability_gap,7200,3041,1499,-0.401187482886847,0.20375545591194605,0.16786657397394908
branch/original_P/overall,query_entropy,4800,2105,1711,-0.1312662267259647,0.36681000709504274,0.46629969770753826
branch/original_P/overall,query_max_probability,4800,2105,1711,0.15310909779119347,0.6459677682344801,0.5460408050360256
branch/original_P/overall,query_probability_gap,4800,2105,1711,0.17522630448030835,0.6562863400596689,0.5552959455877353
branch/original_P/overall,query_js,4800,2105,1711,-0.22389331668373771,0.4143640682358022,0.5402937101333724
