feature,analysis,held_seed,orientation_train_seeds,orientation_train_count,orientation_train_auroc,orientation,harm_threshold,overall,easy,hard
query_js,primary,17,"[7, 27]",28800,0.45294131970754387,-1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.5893209062038386}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.6873964885201621}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.5433133336639063}"
query_js,primary,27,"[7, 17]",28800,0.38192264499376893,-1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.43796080044245295}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.3552345952535856}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.555669567057222}"
query_js,sensitivity_gt_005,7,"[17, 27]",28800,0.59550535545733,1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.5161753984698207}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.5732762963416294}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.48481800718028184}"
query_js,sensitivity_gt_005,17,"[7, 27]",28800,0.5940946280516624,1,0.05,"{""count"": 14400, ""harm_count"": 4999, ""auroc"": 0.5352924217435765}","{""count"": 7200, ""harm_count"": 2476, ""auroc"": 0.5562373382268251}","{""count"": 7200, ""harm_count"": 2523, ""auroc"": 0.4949225305508755}"
query_js,sensitivity_gt_005,27,"[7, 17]",28800,0.5323578181123667,1,0.05,"{""count"": 14400, ""harm_count"": 6105, ""auroc"": 0.6648598689105019}","{""count"": 7200, ""harm_count"": 3186, ""auroc"": 0.7925430328439289}","{""count"": 7200, ""harm_count"": 2919, ""auroc"": 0.5165867906335658}"
representation_displacement,primary,7,"[17, 27]",28800,0.4734787892314765,-1,0,"{""count"": 14400, ""harm_count"": 5783, ""auroc"": 0.5959522565680591}","{""count"": 7200, ""harm_count"": 3041, ""auroc"": 0.6374028771967055}","{""count"": 7200, ""harm_count"": 2742, ""auroc"": 0.5610884341053005}"
representation_displacement,primary,17,"[7, 27]",28800,0.44715529404788695,-1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.5297853901758623}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.5518087594057496}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.5453585923551417}"
representation_displacement,primary,27,"[7, 17]",28800,0.4442312378373475,-1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.5191273113825553}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.5202929827543427}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.5481693165421537}"
representation_displacement,sensitivity_gt_005,7,"[17, 27]",28800,0.5146091950475791,1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.49487630340629596}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.5402983383999553}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.4757971419243703}"
representation_displacement,sensitivity_gt_005,17,"[7, 27]",28800,0.5145503221364319,1,0.05,"{""count"": 14400, ""harm_count"": 4999, ""auroc"": 0.5135453215523437}","{""count"": 7200, ""harm_count"": 2476, ""auroc"": 0.5507809774854693}","{""count"": 7200, ""harm_count"": 2523, ""auroc"": 0.48721105152672384}"
representation_displacement,sensitivity_gt_005,27,"[7, 17]",28800,0.5117561844455264,1,0.05,"{""count"": 14400, ""harm_count"": 6105, ""auroc"": 0.5225113260556299}","{""count"": 7200, ""harm_count"": 3186, ""auroc"": 0.5232879992218071}","{""count"": 7200, ""harm_count"": 2919, ""auroc"": 0.5159853296659899}"
prediction_changed,primary,7,"[17, 27]",28800,0.43825405833415965,-1,0,"{""count"": 14400, ""harm_count"": 5783, ""auroc"": 0.601814611064741}","{""count"": 7200, ""harm_count"": 3041, ""auroc"": 0.6272772944638391}","{""count"": 7200, ""harm_count"": 2742, ""auroc"": 0.5683201247137151}"
prediction_changed,primary,17,"[7, 27]",28800,0.4433307929978114,-1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.6097848381108272}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.6677059617981864}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.5333557928551497}"
prediction_changed,primary,27,"[7, 17]",28800,0.3954596189073086,-1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.5084723684299653}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.44902146964182094}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.551639066576202}"
prediction_changed,sensitivity_gt_005,7,"[17, 27]",28800,0.49000938358234625,-1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.5273155240581916}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.5340913705084802}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.548260350278361}"
prediction_changed,sensitivity_gt_005,17,"[7, 27]",28800,0.5000938678402707,1,0.05,"{""count"": 14400, ""harm_count"": 4999, ""auroc"": 0.4541671763775157}","{""count"": 7200, ""harm_count"": 2476, ""auroc"": 0.418674995451679}","{""count"": 7200, ""harm_count"": 2523, ""auroc"": 0.48824261311648043}"
prediction_changed,sensitivity_gt_005,27,"[7, 17]",28800,0.46496575560717807,-1,0.05,"{""count"": 14400, ""harm_count"": 6105, ""auroc"": 0.4689266942431499}","{""count"": 7200, ""harm_count"": 3186, ""auroc"": 0.40782543583334036}","{""count"": 7200, ""harm_count"": 2919, ""auroc"": 0.5247292405338918}"
delta_max_probability,primary,7,"[17, 27]",28800,0.28208999297092724,-1,0,"{""count"": 14400, ""harm_count"": 5783, ""auroc"": 0.6867057367888749}","{""count"": 7200, ""harm_count"": 3041, ""auroc"": 0.8101759325287434}","{""count"": 7200, ""harm_count"": 2742, ""auroc"": 0.5843245115526746}"
