scope,group,count,quantity,mean,median,q25,q75
primary/overall,harm,2235,query_entropy,0.7698428364599778,0.8724912405014038,0.3185291290283203,1.2229977250099182
primary/overall,harm,2235,query_max_probability,0.67621987191356,0.670120358467102,0.45118004083633423,0.9100453853607178
primary/overall,harm,2235,query_probability_gap,0.5020879282672334,0.4707009494304657,0.17073273658752441,0.8460967838764191
primary/overall,harm,2235,assignment_entropy,1.2533344326403317,1.3271405696868896,1.159087359905243,1.3632511496543884
primary/overall,harm,2235,assignment_probability_gap,0.15381806771327186,0.10850448906421661,0.0496803130954504,0.24890854954719543
primary/overall,harm,2235,inner_loss_before,1.9586187734433202,1.7945377826690674,1.566279649734497,2.236082434654236
primary/overall,harm,2235,gradient_norm,6.042364197442729,4.585512161254883,2.1661713123321533,8.672852039337158
primary/overall,harm,2235,chosen_eta,0.033358501615648635,0.02500000037252903,0.012500000186264515,0.05000000074505806
primary/overall,harm,2235,backtracking_trials,1.886800894854586,2.0,1.0,3.0
primary/overall,harm,2235,normalized_update,0.01962817159039853,0.016726963554824604,0.010900340992379583,0.024813390091439104
primary/overall,harm,2235,representation_shift,0.39708032201667226,0.3336351215839386,0.21699867397546768,0.5023520588874817
primary/overall,harm,2235,relative_inner_reduction,0.08488904885337833,0.06618357408424369,0.03297122316632686,0.11947312264875903
primary/overall,harm,2235,query_js,0.05491964564541765,0.027801744639873505,0.009276904165744781,0.06990772858262062
primary/overall,harm,2235,prediction_changed_fraction,0.282662192393736,0.125,0.0,0.5
primary/overall,harm,2235,drift_W0,0.9675963069147414,0.9491707957481711,0.5740225046652567,1.4752057940922476
primary/overall,harm,2235,drift_key,0.492868909549587,0.38544771567709535,0.21666434249334393,0.6980176658048054
primary/overall,harm,2235,drift_query,0.39482596875532355,0.37016652364712327,0.21209506905155248,0.682418707068896
primary/overall,harm,2235,drift_total,1.1694284513702309,1.0691890332590968,0.651344512140134,1.6862775665358274
primary/overall,benefit,3165,query_entropy,0.812037820886897,0.8642961382865906,0.44000357389450073,1.1796226501464844
primary/overall,benefit,3165,query_max_probability,0.6539278250452466,0.6566464900970459,0.47101891040802,0.8335546255111694
primary/overall,benefit,3165,query_probability_gap,0.45388639591292934,0.43366286158561707,0.18355968594551086,0.7074264883995056
primary/overall,benefit,3165,assignment_entropy,1.2622067944886748,1.2986929416656494,1.1795804500579834,1.3633019924163818
primary/overall,benefit,3165,assignment_probability_gap,0.14360658705210988,0.10251563042402267,0.050474923104047775,0.22505822777748108
primary/overall,benefit,3165,inner_loss_before,2.0079977072057376,1.8387269973754883,1.6108406782150269,2.31656551361084
primary/overall,benefit,3165,gradient_norm,6.9136928190081415,5.400153636932373,2.3970980644226074,10.315133094787598
primary/overall,benefit,3165,chosen_eta,0.0311364538604938,0.02500000037252903,0.012500000186264515,0.05000000074505806
primary/overall,benefit,3165,backtracking_trials,2.0691943127962085,2.0,1.0,3.0
primary/overall,benefit,3165,normalized_update,0.019287446253858625,0.01675389794408306,0.011621584011410328,0.023918256397634823
primary/overall,benefit,3165,representation_shift,0.39422060573741347,0.34165599942207336,0.23527555167675018,0.495868057012558
primary/overall,benefit,3165,relative_inner_reduction,0.10412700712497158,0.08825057099691186,0.04690881107634882,0.14561953949223264
primary/overall,benefit,3165,query_js,0.06435954782790174,0.0371263287961483,0.012723877094686031,0.08832916617393494
primary/overall,benefit,3165,prediction_changed_fraction,0.34790679304897315,0.25,0.0,0.625
primary/overall,benefit,3165,drift_W0,0.9238212664119985,0.9491707957481711,0.5306291423395536,1.3608693580588669
primary/overall,benefit,3165,drift_key,0.4169620949932322,0.3723307221407044,0.20434065326024894,0.5221779600649719
primary/overall,benefit,3165,drift_query,0.38301560282006986,0.37016652364712327,0.19397689009078806,0.559655574141483
primary/overall,benefit,3165,drift_total,1.0960218143014633,1.0691890332590968,0.5913016998493953,1.5314181917253504
primary/easy,harm,1087,query_entropy,0.34254390328759265,0.31261396408081055,0.18591471016407013,0.47042152285575867
primary/easy,harm,1087,query_max_probability,0.8861579507342587,0.9131224751472473,0.8439716696739197,0.9573054909706116
primary/easy,harm,1087,query_probability_gap,0.8018291889387419,0.8498956561088562,0.7250583171844482,0.9283074140548706
primary/easy,harm,1087,assignment_entropy,1.1406796495083174,1.155587077140808,1.0849493741989136,1.2145089507102966
primary/easy,harm,1087,assignment_probability_gap,0.2567125473791783,0.25295791029930115,0.1859174594283104,0.3167559951543808
primary/easy,harm,1087,inner_loss_before,2.3183831962402963,2.245872974395752,1.9971392154693604,2.5818400382995605
primary/easy,harm,1087,gradient_norm,9.850247130661572,8.827356338500977,6.752145528793335,11.90247392654419
primary/easy,harm,1087,chosen_eta,0.019704462115146502,0.012500000186264515,0.012500000186264515,0.02500000037252903
primary/easy,harm,1087,backtracking_trials,2.6651333946642133,3.0,2.0,3.0
primary/easy,harm,1087,normalized_update,0.02367095785769765,0.020297325047268354,0.013451217976736556,0.029461581920651382
primary/easy,harm,1087,representation_shift,0.4778210339449147,0.40127432346343994,0.2703436315059662,0.599153995513916
primary/easy,harm,1087,relative_inner_reduction,0.10891305756237138,0.09918190323646821,0.05162156656728952,0.15532985599300603
primary/easy,harm,1087,query_js,0.07978530590621224,0.05086485669016838,0.020062732510268688,0.1067148856818676
primary/easy,harm,1087,prediction_changed_fraction,0.19192732290708373,0.0,0.0,0.25
primary/easy,harm,1087,drift_W0,1.0008552098085883,0.963542722742258,0.5758342392126667,1.7296592187755453
primary/easy,harm,1087,drift_key,0.5207622451271161,0.39094682787554647,0.22050276244524267,0.706494796998343
primary/easy,harm,1087,drift_query,0.4063459677432212,0.380018136601806,0.21209506905155248,0.682418707068896
primary/easy,harm,1087,drift_total,1.2135970960931886,1.1012198692294601,0.6524622225684525,1.9602656391313193
primary/easy,benefit,1613,query_entropy,0.4762127218953919,0.4469112157821655,0.29923880100250244,0.6350077390670776
primary/easy,benefit,1613,query_max_probability,0.8148404088215435,0.8295532464981079,0.7430650591850281,0.9006333351135254
primary/easy,benefit,1613,query_probability_gap,0.6749500509649423,0.694028377532959,0.5563296675682068,0.8236796855926514
primary/easy,benefit,1613,assignment_entropy,1.1670002748858315,1.1813541650772095,1.1167582273483276,1.2356023788452148
primary/easy,benefit,1613,assignment_probability_gap,0.23027234457511747,0.22253309190273285,0.163045734167099,0.28519782423973083
primary/easy,benefit,1613,inner_loss_before,2.3378442129731103,2.2930684089660645,1.9699466228485107,2.675384283065796
primary/easy,benefit,1613,gradient_norm,11.056681400785074,10.23454761505127,7.6554341316223145,13.520129203796387
primary/easy,benefit,1613,chosen_eta,0.015690871281549335,0.012500000186264515,0.0062500000931322575,0.02500000037252903
primary/easy,benefit,1613,backtracking_trials,2.985740855548667,3.0,2.0,4.0
primary/easy,benefit,1613,normalized_update,0.02118018893079699,0.0184309532669078,0.012842289327134417,0.026448985387510972
primary/easy,benefit,1613,representation_shift,0.43167149174152436,0.37220004200935364,0.25397244095802307,0.547532856464386
primary/easy,benefit,1613,relative_inner_reduction,0.1261089167650127,0.1151215133985827,0.06694030923966493,0.17630204187817172
primary/easy,benefit,1613,query_js,0.09092264947252593,0.0650840699672699,0.029792718589305878,0.12769916653633118
primary/easy,benefit,1613,prediction_changed_fraction,0.2691413515189089,0.25,0.0,0.375
primary/easy,benefit,1613,drift_W0,0.9022358425370586,0.7910695569761607,0.5306291423395536,1.3608693580588669
primary/easy,benefit,1613,drift_key,0.3996000999970727,0.3723307221407044,0.20434065326024894,0.4761699717157393
