state_id,seed,branch,step,regime,count,mean_delta_nll,sign,before_accuracy,after_accuracy,before_nll,after_nll,delta_accuracy
seed27_P_O0_resume_step100,27,P_O0_resume,100,hard,100,-0.04213541626930237,benefit,0.40125,0.4375,1.2793392288684844,1.2372038125991822,0.03625
seed27_P_O0_resume_step200,27,P_O0_resume,200,easy,100,0.2326266341470182,harm,0.8875,0.75625,0.2995641615428031,0.5321907956898212,-0.13125
seed27_P_O0_resume_step200,27,P_O0_resume,200,hard,100,-0.03226822227239609,benefit,0.41125,0.45625,1.2533202043175697,1.2210519820451737,0.045
seed27_P_O0_resume_step400,27,P_O0_resume,400,easy,100,0.14402533326297998,harm,0.88125,0.79,0.30511408768594267,0.4491394209489226,-0.09125
seed27_P_O0_resume_step400,27,P_O0_resume,400,hard,100,-0.0005256599187850952,benefit,0.42625,0.46375,1.1869154512882232,1.1863897913694381,0.0375
seed27_P_O0_resume_step50,27,P_O0_resume,50,easy,100,0.05276386523619294,harm,0.87,0.82625,0.36195335745811463,0.41471722269430755,-0.04375
seed27_P_O0_resume_step50,27,P_O0_resume,50,hard,100,-0.04063216716051102,benefit,0.39,0.4075,1.2748135727643968,1.2341814056038856,0.0175
seed27_original_P,27,original_P,0,easy,100,0.13119314428418874,harm,0.89125,0.80875,0.32285109363496306,0.45404423791915177,-0.0825
seed27_original_P,27,original_P,0,hard,100,-0.0714071249961853,benefit,0.37625,0.41375,1.3319190782308579,1.2605119532346725,0.0375
seed7_P_C2_warm_step0,7,P_C2_warm,0,easy,100,-0.3488419276289642,benefit,0.71875,0.90375,0.618635843731463,0.26979391610249875,0.185
seed7_P_C2_warm_step0,7,P_C2_warm,0,hard,100,-0.08019839942455292,benefit,0.41125,0.48625,1.316600942015648,1.236402542591095,0.075
seed7_P_C2_warm_step100,7,P_C2_warm,100,easy,100,-0.4691466108709574,benefit,0.6525,0.90625,0.7878601213544607,0.3187135104835033,0.25375
